date,time,lat,lon,ele,sog
2025-10-01,14:19:18.000,50.7102720,-2.7603242,5.0,0.000
2025-10-01,14:19:23.000,50.7102309,-2.7602745,5.4,0.933
2025-10-01,14:19:28.000,50.7101889,-2.7602382,4.8,0.765
2025-10-01,14:19:33.000,50.7101374,-2.7602087,4.8,1.241
2025-10-01,14:19:38.000,50.7100860,-2.7601793,5.4,1.176
2025-10-01,14:19:43.000,50.7100379,-2.7601698,5.2,1.176
2025-10-01,14:19:48.000,50.7099912,-2.7601508,5.0,1.082
2025-10-01,14:19:53.000,50.7099367,-2.7601290,5.4,1.222
2025-10-01,14:19:58.000,50.7098883,-2.7601320,4.8,1.194
2025-10-01,14:20:03.000,50.7098342,-2.7601387,5.2,1.213
2025-10-01,14:20:08.000,50.7098001,-2.7601246,5.6,1.120
2025-10-01,14:20:13.000,50.7097675,-2.7601163,5.6,0.886
2025-10-01,14:20:18.000,50.7097482,-2.7601341,5.8,0.802
2025-10-01,14:20:23.000,50.7097255,-2.7601676,6.0,0.812
2025-10-01,14:20:28.000,50.7097226,-2.7601746,6.0,0.467
2025-10-01,14:20:33.000,50.7097226,-2.7601746,6.2,0.000
2025-10-01,14:20:38.000,50.7097226,-2.7601746,6.2,0.000
2025-10-01,14:20:43.000,50.7097226,-2.7601746,6.6,0.000
2025-10-01,14:20:48.000,50.7097226,-2.7601746,6.2,0.000
2025-10-01,14:20:53.000,50.7097226,-2.7601746,5.8,0.000
2025-10-01,14:20:58.000,50.7097226,-2.7601746,5.8,0.000
2025-10-01,14:21:03.000,50.7097226,-2.7601746,6.0,0.000
2025-10-01,14:21:08.000,50.7097226,-2.7601746,5.6,0.000
2025-10-01,14:21:13.000,50.7097226,-2.7601746,5.4,0.000
2025-10-01,14:21:18.000,50.7097061,-2.7601507,6.2,0.000
2025-10-01,14:21:23.000,50.7097038,-2.7601480,6.2,0.000
2025-10-01,14:21:28.000,50.7097037,-2.7601480,6.4,0.000
2025-10-01,14:21:33.000,50.7097018,-2.7601503,6.2,0.000
2025-10-01,14:21:38.000,50.7097122,-2.7601041,6.0,0.000
2025-10-01,14:21:43.000,50.7097327,-2.7600688,6.4,1.129
2025-10-01,14:21:48.000,50.7097314,-2.7600655,6.4,0.000
2025-10-01,14:21:53.000,50.7097314,-2.7600655,6.2,0.000
2025-10-01,14:21:58.000,50.7097351,-2.7600513,6.4,0.000
2025-10-01,14:22:03.000,50.7097549,-2.7599938,6.6,0.840
2025-10-01,14:22:08.000,50.7097626,-2.7599279,6.6,1.045
2025-10-01,14:22:13.000,50.7097653,-2.7598642,7.0,0.942
2025-10-01,14:22:18.000,50.7097837,-2.7598031,7.0,0.933
2025-10-01,14:22:23.000,50.7098142,-2.7597306,6.6,1.036
2025-10-01,14:22:28.000,50.7098455,-2.7596731,6.2,1.157
2025-10-01,14:22:33.000,50.7098807,-2.7596098,6.0,1.101
2025-10-01,14:22:38.000,50.7099128,-2.7595373,5.8,1.148
2025-10-01,14:22:43.000,50.7099482,-2.7594777,5.2,1.176
2025-10-01,14:22:48.000,50.7099825,-2.7594007,5.2,1.232
2025-10-01,14:22:53.000,50.7100135,-2.7593395,4.6,1.241
2025-10-01,14:22:58.000,50.7100442,-2.7592639,4.4,1.232
2025-10-01,14:23:03.000,50.7100762,-2.7592066,4.6,1.213
2025-10-01,14:23:08.000,50.7101095,-2.7591569,4.4,1.157
2025-10-01,14:23:13.000,50.7101441,-2.7590882,4.4,1.222
2025-10-01,14:23:18.000,50.7101783,-2.7590232,4.4,1.185
2025-10-01,14:23:23.000,50.7101951,-2.7589517,4.8,1.185
2025-10-01,14:23:28.000,50.7102120,-2.7588705,4.8,1.185
2025-10-01,14:23:33.000,50.7102318,-2.7587874,5.0,1.194
2025-10-01,14:23:38.000,50.7102508,-2.7587042,5.2,1.204
2025-10-01,14:23:43.000,50.7102740,-2.7586283,5.6,1.213
2025-10-01,14:23:48.000,50.7102940,-2.7585404,5.8,1.222
2025-10-01,14:23:53.000,50.7103155,-2.7584526,6.0,1.232
2025-10-01,14:23:58.000,50.7103307,-2.7583756,6.2,1.222
2025-10-01,14:24:03.000,50.7103616,-2.7582903,6.4,1.241
2025-10-01,14:24:08.000,50.7103787,-2.7582476,6.6,1.185
2025-10-01,14:24:13.000,50.7103511,-2.7582818,6.6,1.073
2025-10-01,14:24:18.000,50.7103501,-2.7582866,6.4,0.000
2025-10-01,14:24:23.000,50.7103516,-2.7582853,6.4,0.000
2025-10-01,14:24:28.000,50.7103776,-2.7582222,6.6,0.000
2025-10-01,14:24:33.000,50.7104025,-2.7581374,6.8,1.204
2025-10-01,14:24:38.000,50.7104250,-2.7580566,6.8,1.288
2025-10-01,14:24:43.000,50.7104377,-2.7579848,7.2,1.082
2025-10-01,14:24:48.000,50.7104597,-2.7578943,7.2,1.176
2025-10-01,14:24:53.000,50.7104735,-2.7578078,7.2,1.176
2025-10-01,14:24:58.000,50.7104942,-2.7577184,7.4,1.250
2025-10-01,14:25:03.000,50.7105092,-2.7576342,7.4,1.232
2025-10-01,14:25:08.000,50.7105237,-2.7575461,7.4,1.241
2025-10-01,14:25:13.000,50.7105406,-2.7574604,7.4,1.260
2025-10-01,14:25:18.000,50.7105475,-2.7573590,7.6,1.297
2025-10-01,14:25:23.000,50.7105577,-2.7572743,7.8,1.297
2025-10-01,14:25:28.000,50.7105765,-2.7571905,7.8,1.288
2025-10-01,14:25:33.000,50.7105947,-2.7571205,7.8,1.260
2025-10-01,14:25:38.000,50.7105936,-2.7570461,7.8,1.176
2025-10-01,14:25:43.000,50.7105843,-2.7569975,8.4,0.952
2025-10-01,14:25:48.000,50.7105518,-2.7569401,9.0,1.008
2025-10-01,14:25:53.000,50.7105232,-2.7569070,9.0,0.924
2025-10-01,14:25:58.000,50.7104843,-2.7568720,9.6,0.933
2025-10-01,14:26:03.000,50.7104409,-2.7568460,10.6,0.942
2025-10-01,14:26:08.000,50.7104014,-2.7568220,11.4,0.942
2025-10-01,14:26:13.000,50.7103746,-2.7567590,12.0,0.961
2025-10-01,14:26:18.000,50.7103549,-2.7567255,12.8,0.905
2025-10-01,14:26:23.000,50.7103446,-2.7567199,13.6,0.886
2025-10-01,14:26:28.000,50.7103494,-2.7566953,13.2,0.746
2025-10-01,14:26:33.000,50.7103494,-2.7566951,13.2,0.000
2025-10-01,14:26:38.000,50.7103289,-2.7566650,13.8,0.868
2025-10-01,14:26:43.000,50.7102976,-2.7566145,14.0,1.045
2025-10-01,14:26:48.000,50.7102754,-2.7565935,14.4,0.672
2025-10-01,14:26:53.000,50.7102465,-2.7565495,15.0,0.830
2025-10-01,14:26:58.000,50.7102186,-2.7565029,15.6,0.886
2025-10-01,14:27:03.000,50.7101891,-2.7564515,16.4,0.924
2025-10-01,14:27:08.000,50.7101703,-2.7564102,17.0,0.858
2025-10-01,14:27:13.000,50.7101401,-2.7563670,17.8,0.877
2025-10-01,14:27:18.000,50.7101116,-2.7563274,18.6,0.877
2025-10-01,14:27:23.000,50.7100851,-2.7562791,19.2,0.886
2025-10-01,14:27:28.000,50.7100600,-2.7562373,20.0,0.877
2025-10-01,14:27:33.000,50.7100319,-2.7561886,20.6,0.868
2025-10-01,14:27:38.000,50.7100036,-2.7561465,21.6,0.896
2025-10-01,14:27:43.000,50.7099879,-2.7561181,22.0,0.690
2025-10-01,14:27:48.000,50.7099586,-2.7560827,22.6,0.000
2025-10-01,14:27:53.000,50.7099379,-2.7560383,23.0,0.000
2025-10-01,14:27:58.000,50.7099128,-2.7560148,23.6,0.467
2025-10-01,14:28:03.000,50.7098849,-2.7559646,24.2,1.045
2025-10-01,14:28:08.000,50.7098498,-2.7559220,25.0,1.148
2025-10-01,14:28:13.000,50.7098278,-2.7558744,25.6,0.924
2025-10-01,14:28:18.000,50.7098029,-2.7558268,26.4,0.905
2025-10-01,14:28:23.000,50.7097776,-2.7557853,27.2,0.840
2025-10-01,14:28:28.000,50.7097562,-2.7557361,27.8,0.821
2025-10-01,14:28:33.000,50.7097395,-2.7556964,28.8,0.756
2025-10-01,14:28:38.000,50.7097196,-2.7556621,29.6,0.756
2025-10-01,14:28:43.000,50.7096997,-2.7556305,30.2,0.560
2025-10-01,14:28:48.000,50.7096788,-2.7555893,31.4,0.709
2025-10-01,14:28:53.000,50.7096621,-2.7555418,32.2,0.709
2025-10-01,14:28:58.000,50.7096500,-2.7554948,33.0,0.700
2025-10-01,14:29:03.000,50.7096311,-2.7554487,33.8,0.756
2025-10-01,14:29:08.000,50.7096213,-2.7553925,34.4,0.756
2025-10-01,14:29:13.000,50.7096002,-2.7553371,35.2,0.784
2025-10-01,14:29:18.000,50.7095746,-2.7552914,36.0,0.840
2025-10-01,14:29:23.000,50.7095495,-2.7552456,36.6,0.858
2025-10-01,14:29:28.000,50.7095212,-2.7552006,37.2,0.886
2025-10-01,14:29:33.000,50.7094939,-2.7551555,37.8,0.858
2025-10-01,14:29:38.000,50.7094622,-2.7551018,38.4,1.036
2025-10-01,14:29:43.000,50.7094318,-2.7550606,39.0,0.924
2025-10-01,14:29:48.000,50.7093983,-2.7550137,39.8,0.840
